L1,L2,L3,L4,L5,M12,tb
0.163969,0.302985,0.128684,-0.33213,-0.159758,-39810.7,2.07321
0.164027,0.303013,0.128745,-0.331589,-0.158508,-36307.8,2.07321
0.164027,0.303013,0.128745,-0.331589,-0.158508,-37153.5,2.07321
0.164027,0.303013,0.128745,-0.331589,-0.158508,-38018.9,2.07321
0.164027,0.303013,0.128745,-0.331589,-0.158508,-38904.5,2.07321
0.164085,0.303042,0.128807,-0.331053,-0.157261,-35481.3,2.07321
0.164085,0.303042,0.128807,-0.331053,-0.157261,-36307.8,2.07321
0.164085,0.303042,0.128807,-0.331053,-0.157261,-37153.5,2.07321
0.164085,0.303042,0.128807,-0.331053,-0.157261,-38018.9,2.07321
0.164143,0.30307,0.128867,-0.330521,-0.156017,-34673.7,2.07321
0.164143,0.30307,0.128867,-0.330521,-0.156017,-35481.3,2.07321
0.164143,0.30307,0.128867,-0.330521,-0.156017,-36307.8,2.07321
0.164143,0.30307,0.128867,-0.330521,-0.156017,-37153.5,2.07321
0.1642,0.303097,0.128927,-0.329995,-0.154775,-33884.4,2.07321
0.1642,0.303097,0.128927,-0.329995,-0.154775,-34673.7,2.07321
0.1642,0.303097,0.128927,-0.329995,-0.154775,-35481.3,2.07321
0.1642,0.303097,0.128927,-0.329995,-0.154775,-36307.8,2.07321
0.1642,0.303097,0.128927,-0.329995,-0.154775,-37153.5,2.07321
0.164256,0.303125,0.128987,-0.329472,-0.153535,-33884.4,2.07321
0.164256,0.303125,0.128987,-0.329472,-0.153535,-34673.7,2.07321
0.164256,0.303125,0.128987,-0.329472,-0.153535,-35481.3,2.07321
0.164256,0.303125,0.128987,-0.329472,-0.153535,-36307.8,2.07321
0.164312,0.303152,0.129046,-0.328955,-0.152299,-33113.1,2.07321
0.164312,0.303152,0.129046,-0.328955,-0.152299,-33884.4,2.07321
0.164312,0.303152,0.129046,-0.328955,-0.152299,-34673.7,2.07321
0.164312,0.303152,0.129046,-0.328955,-0.152299,-35481.3,2.07321
0.164368,0.303179,0.129104,-0.328441,-0.151064,-32359.4,2.07321
0.164368,0.303179,0.129104,-0.328441,-0.151064,-33113.1,2.07321
0.164368,0.303179,0.129104,-0.328441,-0.151064,-33884.4,2.07321
0.164368,0.303179,0.129104,-0.328441,-0.151064,-34673.7,2.07321
0.164423,0.303206,0.129162,-0.327933,-0.149833,-32359.4,2.07321
0.164423,0.303206,0.129162,-0.327933,-0.149833,-33113.1,2.07321
0.164423,0.303206,0.129162,-0.327933,-0.149833,-33884.4,2.07321
0.164423,0.303206,0.129162,-0.327933,-0.149833,-34673.7,2.07321
0.164477,0.303232,0.129219,-0.327429,-0.148604,-31622.8,2.07321
0.164477,0.303232,0.129219,-0.327429,-0.148604,-32359.4,2.07321
0.164477,0.303232,0.129219,-0.327429,-0.148604,-33113.1,2.07321
0.164477,0.303232,0.129219,-0.327429,-0.148604,-33884.4,2.07321
0.164531,0.303258,0.129275,-0.326929,-0.147377,-30903.,2.07321
0.164531,0.303258,0.129275,-0.326929,-0.147377,-31622.8,2.07321
0.164531,0.303258,0.129275,-0.326929,-0.147377,-32359.4,2.07321
0.164531,0.303258,0.129275,-0.326929,-0.147377,-33113.1,2.07321
0.164584,0.303284,0.129331,-0.326434,-0.146153,-30903.,2.07321
0.164584,0.303284,0.129331,-0.326434,-0.146153,-31622.8,2.07321
0.164584,0.303284,0.129331,-0.326434,-0.146153,-32359.4,2.07321
0.164584,0.303284,0.129331,-0.326434,-0.146153,-33113.1,2.07321
0.164637,0.303309,0.129386,-0.325943,-0.144931,-30199.5,2.07321
